token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
59434,ADANIENT26JUN252260PE,ADANIENT,26JUN2025,226000.000000,300,OPTSTK,NFO,5.000000
59435,ADANIENT26JUN252300CE,ADANIENT,26JUN2025,230000.000000,300,OPTSTK,NFO,5.000000
59438,ADANIENT26JUN252340PE,ADANIENT,26JUN2025,234000.000000,300,OPTSTK,NFO,5.000000
59439,ADANIENT26JUN252380CE,ADANIENT,26JUN2025,238000.000000,300,OPTSTK,NFO,5.000000
59454,ADANIENT26JUN252620PE,ADANIENT,26JUN2025,262000.000000,300,OPTSTK,NFO,5.000000
59456,ADANIENT26JUN252660PE,ADANIENT,26JUN2025,266000.000000,300,OPTSTK,NFO,5.000000
59457,ADANIENT26JUN252700CE,ADANIENT,26JUN2025,270000.000000,300,OPTSTK,NFO,5.000000
59541,ADANIENT31JUL252080PE,ADANIENT,31JUL2025,208000.000000,300,OPTSTK,NFO,5.000000
59554,ADANIENT31JUL252280PE,ADANIENT,31JUL2025,228000.000000,300,OPTSTK,NFO,5.000000
59551,ADANIENT31JUL252240CE,ADANIENT,31JUL2025,224000.000000,300,OPTSTK,NFO,5.000000
59613,ADANIENT31JUL252680PE,ADANIENT,31JUL2025,268000.000000,300,OPTSTK,NFO,5.000000
59431,ADANIENT26JUN252220CE,ADANIENT,26JUN2025,222000.000000,300,OPTSTK,NFO,5.000000
59424,ADANIENT26JUN252060PE,ADANIENT,26JUN2025,206000.000000,300,OPTSTK,NFO,5.000000
59450,ADANIENT26JUN252540PE,ADANIENT,26JUN2025,254000.000000,300,OPTSTK,NFO,5.000000
59547,ADANIENT31JUL252160CE,ADANIENT,31JUL2025,216000.000000,300,OPTSTK,NFO,5.000000
59503,ADANIENT31JUL251920CE,ADANIENT,31JUL2025,192000.000000,300,OPTSTK,NFO,5.000000
59523,ADANIENT31JUL252040PE,ADANIENT,31JUL2025,204000.000000,300,OPTSTK,NFO,5.000000
59553,ADANIENT31JUL252280CE,ADANIENT,31JUL2025,228000.000000,300,OPTSTK,NFO,5.000000
59550,ADANIENT31JUL252200PE,ADANIENT,31JUL2025,220000.000000,300,OPTSTK,NFO,5.000000
59567,ADANIENT31JUL252360PE,ADANIENT,31JUL2025,236000.000000,300,OPTSTK,NFO,5.000000
