symbol,token,high
ETERNAL29MAY25215CE,146342,19.35
ETERNAL29MAY25220PE,140690,3.65
ETERNAL29MAY25220CE,140689,15.35
ETERNAL29MAY25225PE,146345,5.05
ETERNAL29MAY25225CE,146344,11.85
ETERNAL29MAY25230PE,140694,6.45
ETERNAL29MAY25230CE,140691,9.05
ETERNAL29MAY25235PE,146347,9.35
ETERNAL29MAY25235CE,146346,6.7
ETERNAL29MAY25240PE,140698,12.45
ETERNAL29MAY25240CE,140695,4.7
ETERNAL29MAY25245PE,146349,16.1
ETERNAL29MAY25245CE,146348,2.95
ETERNAL29MAY25250PE,140768,20.15
ETERNAL29MAY25215CE,146342,20.5
ETERNAL29MAY25220PE,140690,3.15
ETERNAL29MAY25220CE,140689,15.35
ETERNAL29MAY25225PE,146345,4.4
ETERNAL29MAY25225CE,146344,11.95
ETERNAL29MAY25230PE,140694,6.1
ETERNAL29MAY25230CE,140691,9.5
ETERNAL29MAY25235PE,146347,8.55
ETERNAL29MAY25235CE,146346,6.65
ETERNAL29MAY25240PE,140698,12.45
ETERNAL29MAY25240CE,140695,4.7
ETERNAL29MAY25245PE,146349,16.1
ETERNAL29MAY25245CE,146348,2.95
ETERNAL29MAY25250PE,140768,20.15
ETERNAL29MAY25215CE,146342,20.5
ETERNAL29MAY25220PE,140690,3.3
ETERNAL29MAY25220CE,140689,15.35
ETERNAL29MAY25225PE,146345,4.6
ETERNAL29MAY25225CE,146344,11.95
ETERNAL29MAY25230PE,140694,6.4
ETERNAL29MAY25230CE,140691,9.3
ETERNAL29MAY25235PE,146347,8.65
ETERNAL29MAY25235CE,146346,6.7
ETERNAL29MAY25240PE,140698,11.6
ETERNAL29MAY25240CE,140695,4.6
ETERNAL29MAY25245PE,146349,16.1
ETERNAL29MAY25245CE,146348,2.95
ETERNAL29MAY25250PE,140768,20.15
ETERNAL29MAY25215CE,146342,20.5
ETERNAL29MAY25220PE,140690,3.15
ETERNAL29MAY25220CE,140689,15.35
ETERNAL29MAY25225PE,146345,4.6
ETERNAL29MAY25225CE,146344,11.95
