token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
140699,ETERNAL29MAY25250CE,ETERNAL,29MAY2025,25000.000000,2000,OPTSTK,NFO,5.000000
140683,ETERNAL29MAY25190CE,ETERNAL,29MAY2025,19000.000000,2000,OPTSTK,NFO,5.000000
140688,ETERNAL29MAY25210PE,ETERNAL,29MAY2025,21000.000000,2000,OPTSTK,NFO,5.000000
140689,ETERNAL29MAY25220CE,ETERNAL,29MAY2025,22000.000000,2000,OPTSTK,NFO,5.000000
140698,ETERNAL29MAY25240PE,ETERNAL,29MAY2025,24000.000000,2000,OPTSTK,NFO,5.000000
140691,ETERNAL29MAY25230CE,ETERNAL,29MAY2025,23000.000000,2000,OPTSTK,NFO,5.000000
140773,ETERNAL29MAY25280CE,ETERNAL,29MAY2025,28000.000000,2000,OPTSTK,NFO,5.000000
140770,ETERNAL29MAY25260PE,ETERNAL,29MAY2025,26000.000000,2000,OPTSTK,NFO,5.000000
140680,ETERNAL29MAY25170PE,ETERNAL,29MAY2025,17000.000000,2000,OPTSTK,NFO,5.000000
140687,ETERNAL29MAY25210CE,ETERNAL,29MAY2025,21000.000000,2000,OPTSTK,NFO,5.000000
140681,ETERNAL29MAY25180CE,ETERNAL,29MAY2025,18000.000000,2000,OPTSTK,NFO,5.000000
140772,ETERNAL29MAY25270PE,ETERNAL,29MAY2025,27000.000000,2000,OPTSTK,NFO,5.000000
140682,ETERNAL29MAY25180PE,ETERNAL,29MAY2025,18000.000000,2000,OPTSTK,NFO,5.000000
140774,ETERNAL29MAY25280PE,ETERNAL,29MAY2025,28000.000000,2000,OPTSTK,NFO,5.000000
140678,ETERNAL29MAY25160PE,ETERNAL,29MAY2025,16000.000000,2000,OPTSTK,NFO,5.000000
140695,ETERNAL29MAY25240CE,ETERNAL,29MAY2025,24000.000000,2000,OPTSTK,NFO,5.000000
140690,ETERNAL29MAY25220PE,ETERNAL,29MAY2025,22000.000000,2000,OPTSTK,NFO,5.000000
140768,ETERNAL29MAY25250PE,ETERNAL,29MAY2025,25000.000000,2000,OPTSTK,NFO,5.000000
146374,ETERNAL26JUN25200CE,ETERNAL,26JUN2025,20000.000000,2000,OPTSTK,NFO,5.000000
146379,ETERNAL26JUN25210PE,ETERNAL,26JUN2025,21000.000000,2000,OPTSTK,NFO,5.000000
146335,ETERNAL29MAY25175PE,ETERNAL,29MAY2025,17500.000000,2000,OPTSTK,NFO,5.000000
146385,ETERNAL26JUN25240PE,ETERNAL,26JUN2025,24000.000000,2000,OPTSTK,NFO,5.000000
146389,ETERNAL26JUN25260PE,ETERNAL,26JUN2025,26000.000000,2000,OPTSTK,NFO,5.000000
146381,ETERNAL26JUN25220PE,ETERNAL,26JUN2025,22000.000000,2000,OPTSTK,NFO,5.000000
140684,ETERNAL29MAY25190PE,ETERNAL,29MAY2025,19000.000000,2000,OPTSTK,NFO,5.000000
140769,ETERNAL29MAY25260CE,ETERNAL,29MAY2025,26000.000000,2000,OPTSTK,NFO,5.000000
140685,ETERNAL29MAY25200CE,ETERNAL,29MAY2025,20000.000000,2000,OPTSTK,NFO,5.000000
140686,ETERNAL29MAY25200PE,ETERNAL,29MAY2025,20000.000000,2000,OPTSTK,NFO,5.000000
140694,ETERNAL29MAY25230PE,ETERNAL,29MAY2025,23000.000000,2000,OPTSTK,NFO,5.000000
140771,ETERNAL29MAY25270CE,ETERNAL,29MAY2025,27000.000000,2000,OPTSTK,NFO,5.000000
146332,ETERNAL29MAY25165PE,ETERNAL,29MAY2025,16500.000000,2000,OPTSTK,NFO,5.000000
146349,ETERNAL29MAY25245PE,ETERNAL,29MAY2025,24500.000000,2000,OPTSTK,NFO,5.000000
146388,ETERNAL26JUN25260CE,ETERNAL,26JUN2025,26000.000000,2000,OPTSTK,NFO,5.000000
38282,ETERNAL29MAY25265CE,ETERNAL,29MAY2025,26500.000000,2000,OPTSTK,NFO,5.000000
146343,ETERNAL29MAY25215PE,ETERNAL,29MAY2025,21500.000000,2000,OPTSTK,NFO,5.000000
146386,ETERNAL26JUN25250CE,ETERNAL,26JUN2025,25000.000000,2000,OPTSTK,NFO,5.000000
146347,ETERNAL29MAY25235PE,ETERNAL,29MAY2025,23500.000000,2000,OPTSTK,NFO,5.000000
146373,ETERNAL26JUN25190PE,ETERNAL,26JUN2025,19000.000000,2000,OPTSTK,NFO,5.000000
146375,ETERNAL26JUN25200PE,ETERNAL,26JUN2025,20000.000000,2000,OPTSTK,NFO,5.000000
146378,ETERNAL26JUN25210CE,ETERNAL,26JUN2025,21000.000000,2000,OPTSTK,NFO,5.000000
146387,ETERNAL26JUN25250PE,ETERNAL,26JUN2025,25000.000000,2000,OPTSTK,NFO,5.000000
38283,ETERNAL29MAY25265PE,ETERNAL,29MAY2025,26500.000000,2000,OPTSTK,NFO,5.000000
146345,ETERNAL29MAY25225PE,ETERNAL,29MAY2025,22500.000000,2000,OPTSTK,NFO,5.000000
146340,ETERNAL29MAY25205CE,ETERNAL,29MAY2025,20500.000000,2000,OPTSTK,NFO,5.000000
146341,ETERNAL29MAY25205PE,ETERNAL,29MAY2025,20500.000000,2000,OPTSTK,NFO,5.000000
146342,ETERNAL29MAY25215CE,ETERNAL,29MAY2025,21500.000000,2000,OPTSTK,NFO,5.000000
146350,ETERNAL29MAY25255CE,ETERNAL,29MAY2025,25500.000000,2000,OPTSTK,NFO,5.000000
146392,ETERNAL26JUN25280CE,ETERNAL,26JUN2025,28000.000000,2000,OPTSTK,NFO,5.000000
146372,ETERNAL26JUN25190CE,ETERNAL,26JUN2025,19000.000000,2000,OPTSTK,NFO,5.000000
146393,ETERNAL26JUN25280PE,ETERNAL,26JUN2025,28000.000000,2000,OPTSTK,NFO,5.000000
146390,ETERNAL26JUN25270CE,ETERNAL,26JUN2025,27000.000000,2000,OPTSTK,NFO,5.000000
146391,ETERNAL26JUN25270PE,ETERNAL,26JUN2025,27000.000000,2000,OPTSTK,NFO,5.000000
146337,ETERNAL29MAY25185PE,ETERNAL,29MAY2025,18500.000000,2000,OPTSTK,NFO,5.000000
